playerid,yearid,teamid,ab
boyercl02,1963,NYA,557
boyercl02,1964,NYA,510
boyercl02,1965,NYA,514
boyercl02,1967,ATL,572
boyerke01,1955,SLN,530
boyerke01,1956,SLN,595
boyerke01,1957,SLN,544
boyerke01,1958,SLN,570
boyerke01,1959,SLN,563
boyerke01,1960,SLN,552
boyerke01,1961,SLN,589
boyerke01,1962,SLN,611
boyerke01,1963,SLN,617
boyerke01,1964,SLN,628
boyerke01,1965,SLN,535
boyleja01,1893,PHI,504
boyleja01,1894,PHI,510
boyleja01,1895,PHI,565
bradlbi01,1901,CLE,516
bradlbi01,1902,CLE,550
bradlbi01,1903,CLE,536
bradlbi01,1904,CLE,609
bradlbi01,1905,CLE,541
bradlbi01,1908,CLE,548
bradlja02,2016,BOS,558
bradlmi01,2004,LAN,516
bradlph01,1985,SEA,641
bradlph01,1986,SEA,526
bradlph01,1987,SEA,603
bradlph01,1988,PHI,569
bradlph01,1989,BAL,545
bragabo01,1941,PHI,557
braggda01,1997,BOS,513
bragggl01,1987,ML4,505
bragggl01,1989,ML4,514
brainda01,1906,BSN,525
brainda01,1907,BSN,509
brancal01,1941,PHA,530
brandja01,1960,BAL,511
brandja01,1961,BAL,516
brandja01,1962,BAL,505
brandja01,1964,BAL,523
branski01,1901,PIT,566
branski01,1903,PIT,505
branski01,1904,PIT,520
branski01,1905,PHI,580
branski01,1906,PHI,524
branski01,1908,PHI,527
branski01,1909,PHI,527
brantmi01,1988,SEA,577
brantmi02,2012,CLE,552
brantmi02,2013,CLE,556
brantmi02,2014,CLE,611
brantmi02,2015,CLE,529
braunry02,2008,MIL,611
braunry02,2009,MIL,635
braunry02,2010,MIL,619
braunry02,2011,MIL,563
braunry02,2012,MIL,598
braunry02,2014,MIL,530
braunry02,2015,MIL,506
braunry02,2016,MIL,511
breamsi01,1986,PIT,522
breamsi01,1987,PIT,516
breedma01,1960,BAL,551
bregmal01,2017,HOU,556
brenlbo01,1984,SFN,506
bressed01,1962,BOS,599
bressed01,1964,BOS,566
bressru01,1928,BRO,501
brettge01,1975,KCA,634
brettge01,1976,KCA,645
brettge01,1977,KCA,564
brettge01,1978,KCA,510
brettge01,1979,KCA,645
brettge01,1982,KCA,552
brettge01,1985,KCA,550
brettge01,1988,KCA,589
brettge01,1990,KCA,544
brettge01,1991,KCA,505
brettge01,1992,KCA,592
brettge01,1993,KCA,560
brickfr01,1931,PHI,514
bridwal01,1907,BSN,509
briggjo02,1974,ML4,554
brinked01,1963,WS2,514
brinked01,1966,WS2,582
brinked01,1969,WS2,576
brinked01,1970,WS2,625
brinked01,1971,DET,527
brinked01,1972,DET,516
brinked01,1973,DET,515
brinked01,1974,DET,502
